Wanda Metropolitano;;;
Camp Nou;1957;99354;
Municipal de El Plantio;1964;12642;
Nuevo Castalia;;;
Balaidos;;;
Miguel Prieto;;;
Gran Canaria;2003;32392;
La Rosaleda;1941;30044;
El Molinon;;;
San Mames;2013;53331;
Benito Villamarin;1929;60721;
Abanca-Riazor;1944;32490;
RCDE Stadium;2009;40500;
Municipal Carlos Tartiere;2000;30500;
Santiago Bernabeu;1947;81044;
Reale Arena;1993;39313;
Mestalla;1923;49430;
La Romareda;1957;33608;
Nuevo Lasesarre;;;
Ramon de Carranza;1957;20000;
Nuevo Arcangel;1993;20989;
Martinez Valero;1976;31388;
Son Moix;1999;23142;
El Sadar;1967;23516;
Narcis Sala;1970;6593;
Ramon Sanchez-Pizjuan;1958;43883;
Paterna;;;
Jose Zorrilla;;;
Municipal Reino de Leon;;;
Nou Estadi;;;
Jose Rico Perez;1974;29500;
Las Gaunas;2002;16000;
Enrique Roca de Murcia;2006;31179;
Municipal de Pasaron;;;
El Sardinero;;;
Campo de Futbol de Vallecas;;;
Nova Creu Alta;1967;11908;
Heliodoro Rodriguez Lopez;1925;22824;
Municipal de La Linea;;;
Ciudad de Valencia;1969;26354;
Pistas del Helmantico;;;
Mendizorroza;1924;19840;
Nuevo Colombino;2001;21670;
Olimpic de Terrassa;1960;11500;
Ciudad de Puertollano;2010;6813;
La Victoria;2001;12569;
Coliseum Alfonso Perez;1998;16500;
Juegos Mediterraneos;;;
A Malata;1993;12043;
Nuevo Mirador;1999;7200;
Alfredo Di Stefano;2005;6000;
Municipal Alfonso Murube;;;
Cerro del Espino;;;
Cartagonova;1988;14353;
Municipal de Chapin;;;
Instalaciones de Lezama;1971;3200;
Carlos Belmonte;1960;18000;
Las Llanas;;;
Municipal de Vilatenim;1986;9000;
Camp dEsports;;;
Pallafria;;;
Municipal de Ipurua;1947;8164;
Nou Estadi de Palamos;1989;3652;
Suarez Puerta;;;
Multiusos de San Lazaro;;;
Romano;1953;14600;
El Madrigal;;;
Nuevo Vivero;1998;14175;
Anxo Carro;1974;7840;
Municipal de Butarque;1998;12454;
Francisco de la Hera;1996;12000;
Nuevo Los Pajaritos;1999;8261;
Campo de Son Malferit;;;
Nuevo Los Carmenes;;;
El Toralin;2000;8400;
Jesus Navas;;;
El Alcoraz;1972;9100;
Municipal de Montilivi;1970;11200;
Stadium Gal;1926;5000;
Santo Domingo;1978;5100;
El Collao;;;
Pedro Escartin;1967;7000;
Municipal de Anduva;;;
Anexos Santo Domingo;;;
Antonio Dominguez;1992;7500;
Artunduaga;;;
Berazubi;;;
Camp de la Morera;;;
Campo de futbol Luis Oliver;;;
Campo de Serralta;;;
Campo Municipal de Garachico;;;
Centro Deportivo Calavera;;;
Centro Deportivo Vega de Triana;;;
Ciudad Deportiva de Getafe;;;
El Astobiza;;;
El Bayu;;;
El Fornas;;;
El Malecon;;;
El Mundo del Futbol;;;
El Rosal;;;
Estadi Municipal de Capellades;;;
Estadio Francisco Gil Cardona;;;
Estadio La Devesa;;;
Estadio Municipal de Deportes El Mazo;;;
Estadio Vivar Tellez;;;
Etxezuri;;;
Ganzabal;1922;4024;
Gobela;;;
Hermanos Antuña;1951;4000;
Hermanos Llana;;;
Instalaciones de Zubieta;;;
Jose del Cuvillo;1972;8600;
La Condomina;1924;4600;
La Cueva;;;
La Florida;;;
La Mina;1916;2000;
La Veigona;;;
Las Callejas;;;
Las Tolvas;;;
Mallona;;;
Manuel Galeano Sanchez;;;
Merkatondoa;1928;3500;
Mintxeta;;;
Municipal de Badalona;2017;4170;
Municipal de La Salud;;;
Municipal de Loinaz;;;
Municipal de Miramar;1952;5000;
Municipal de Montilla;1981;5000;
Municipal de Villafranca;;;
Municipal El Molino;;;
Municipal El Molinon-Enrique Castro Quini;1908;30000;
Municipal Les Grases;;;
Nou Sardenya;1995;4000;
Nuevo Ategorri;;;
Nuevo Pepico Amat;;;
Principe Felipe;1977;7000;
Silvestre Carrillo;;;
Tabira;;;
Urbieta;;;
Urritxe;;;
Valle las Huertas;;;
Virgen de las Nieves;2001;6000;
